1 1 2014 0 0 0
  4.014000566491e-05  1.380417951098e-03 -3.177018450274e-03  1.755296504831e+00
  4.001476281223e-05  1.380979503547e-03 -3.178311882629e-03  1.772499977914e+00
  3.980152478328e-05  1.381456971445e-03 -3.179410960664e-03  1.789703256704e+00
  3.955875308669e-05  1.381818201076e-03 -3.180241765221e-03  1.806906267244e+00
  3.935069940289e-05  1.382068850875e-03 -3.180817629736e-03  1.824109022822e+00
  3.922417134562e-05  1.382244615891e-03 -3.181221101633e-03  1.841311605953e+00
  3.919492781338e-05  1.382393264444e-03 -3.181562444090e-03  1.858514126887e+00
  3.924926152283e-05  1.382558085553e-03 -3.181941458652e-03  1.875716685436e+00
  3.935670054912e-05  1.382769152180e-03 -3.182427386300e-03  1.892919350860e+00
  3.948361637645e-05  1.383041493231e-03 -3.183054749890e-03  1.910122157705e+00
  3.960018835236e-05  1.383376460085e-03 -3.183826536844e-03  1.927325108979e+00
  3.968139279948e-05  1.383764123931e-03 -3.184719733699e-03  1.944528181687e+00
  3.970755753317e-05  1.384186367241e-03 -3.185692460060e-03  1.961731333961e+00
  3.966727853232e-05  1.384620445928e-03 -3.186692198718e-03  1.978934513294e+00
  3.956020987580e-05  1.385042443945e-03 -3.187663777173e-03  1.996137664513e+00
  3.939658630263e-05  1.385430382584e-03 -3.188556538350e-03  2.013340736955e+00
  3.919420906475e-05  1.385767122029e-03 -3.189331020953e-03  2.030543691146e+00
  3.897580897634e-05  1.386042877548e-03 -3.189964752458e-03  2.047746504598e+00
  3.876730253811e-05  1.386256809571e-03 -3.190455909518e-03  2.064949175470e+00
  3.859473430885e-05  1.386417466184e-03 -3.190824325297e-03  2.082151723577e+00
  3.847914224966e-05  1.386542301930e-03 -3.191110356889e-03  2.099354189261e+00
  3.843197499018e-05  1.386656280248e-03 -3.191371641285e-03  2.116556630151e+00
  3.845356451729e-05  1.386789163707e-03 -3.191676837676e-03  2.133759114904e+00
  3.853335119697e-05  1.386971362998e-03 -3.192096052743e-03  2.150961713635e+00
  3.864888090902e-05  1.387228689703e-03 -3.192688731734e-03  2.168164485804e+00
